checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default,credit_income_ratio,monthly_payment,age_group,credit_amount_bin,duration_category,has_checking,good_credit_history,stable_employment,owns_property,owns_housing
No checking account,10,Critical account,Car (new),1231,< 100 DM,>= 7 years,3,Male: single,None,4,Real estate,32,None,Own,2,Unskilled resident,2,None,No,0,307.75,123.1,26-35,Low,Short (1yr),0,0,1,1,1
0-200 DM,15,Existing credits paid till now,Radio/TV,802,< 100 DM,>= 7 years,4,Male: single,None,3,Car or other,37,None,Own,1,Skilled employee,2,None,Yes,1,160.4,53.46666666666667,36-45,Low,Medium (1-2yr),1,1,1,0,1
No checking account,36,Critical account,Business,6304,Unknown/none,>= 7 years,4,Male: single,None,4,Real estate,36,None,Own,2,Skilled employee,1,None,Yes,0,1260.8,175.11111111111111,36-45,Very High,Long (2-4yr),0,0,1,1,1
No checking account,24,Existing credits paid till now,Radio/TV,1533,< 100 DM,< 1 year,4,Female: divorced/married,None,3,Car or other,38,Stores,Own,1,Skilled employee,1,Yes,Yes,0,306.6,63.875,36-45,Medium,Medium (1-2yr),0,1,0,0,1
< 0 DM,14,Existing credits paid till now,Car (new),8978,< 100 DM,>= 7 years,1,Male: divorced/separated,None,4,Savings/life insurance,45,None,Own,1,Highly skilled/self-employed,1,Yes,No,1,4489.0,641.2857142857143,36-45,Very High,Medium (1-2yr),1,1,1,0,1
No checking account,24,Existing credits paid till now,Radio/TV,999,Unknown/none,>= 7 years,4,Male: single,None,2,Car or other,25,None,Own,2,Skilled employee,1,None,Yes,0,199.8,41.625,18-25,Low,Medium (1-2yr),0,1,1,0,1
No checking account,18,Existing credits paid till now,Car (new),2662,Unknown/none,4-7 years,4,Male: single,None,3,Savings/life insurance,32,None,Own,1,Skilled employee,1,None,No,0,532.4,147.88888888888889,26-35,High,Medium (1-2yr),0,1,1,0,1
No checking account,12,Critical account,Furniture/equipment,1402,500-1000 DM,4-7 years,3,Female: divorced/married,None,4,Car or other,37,None,Rent,1,Skilled employee,1,Yes,Yes,0,350.5,116.83333333333333,36-45,Medium,Short (1yr),0,0,1,0,0
0-200 DM,48,All credits paid at this bank,Car (new),12169,Unknown/none,Unemployed,4,Male: single,Co-applicant,4,Unknown/none,36,None,For free,1,Highly skilled/self-employed,1,Yes,Yes,0,2433.8,253.52083333333334,36-45,Very High,Long (2-4yr),1,1,0,0,0
0-200 DM,48,Existing credits paid till now,Radio/TV,3060,< 100 DM,4-7 years,4,Male: single,None,4,Real estate,28,None,Own,2,Skilled employee,1,None,Yes,1,612.0,63.75,26-35,High,Long (2-4yr),1,1,1,1,1
< 0 DM,30,Existing credits paid till now,Repairs,11998,< 100 DM,< 1 year,1,Male: divorced/separated,None,1,Unknown/none,34,None,Own,1,Unskilled resident,1,Yes,Yes,1,5999.0,399.93333333333334,26-35,Very High,Long (2-4yr),1,1,0,0,1
No checking account,9,Existing credits paid till now,Radio/TV,2697,< 100 DM,1-4 years,1,Male: single,None,2,Real estate,32,None,Own,1,Skilled employee,2,None,Yes,0,1348.5,299.6666666666667,26-35,High,Short (1yr),0,1,0,1,1
No checking account,18,Critical account,Radio/TV,2404,< 100 DM,1-4 years,2,Female: divorced/married,None,2,Car or other,26,None,Own,2,Skilled employee,1,None,Yes,0,801.3333333333334,133.55555555555554,26-35,High,Medium (1-2yr),0,0,0,0,1
< 0 DM,12,Existing credits paid till now,Furniture/equipment,1262,Unknown/none,>= 7 years,2,Male: divorced/separated,None,4,Savings/life insurance,49,None,Own,1,Unskilled resident,1,Yes,Yes,0,420.6666666666667,105.16666666666667,46-55,Low,Short (1yr),1,1,1,0,1
No checking account,6,Existing credits paid till now,Furniture/equipment,4611,< 100 DM,< 1 year,1,Female: divorced/married,None,4,Savings/life insurance,32,None,Own,1,Skilled employee,1,None,Yes,1,2305.5,768.5,26-35,Very High,Short (1yr),0,1,0,0,1
No checking account,24,Existing credits paid till now,Radio/TV,1901,100-500 DM,1-4 years,4,Male: single,None,4,Car or other,29,None,Rent,1,Highly skilled/self-employed,1,Yes,Yes,0,380.2,79.20833333333333,26-35,Medium,Medium (1-2yr),0,1,0,0,0
No checking account,15,Critical account,Car (used),3368,>= 1000 DM,>= 7 years,3,Male: single,None,4,Unknown/none,23,None,Rent,2,Skilled employee,1,Yes,Yes,0,842.0,224.53333333333333,18-25,High,Medium (1-2yr),0,0,1,0,0
No checking account,12,Existing credits paid till now,Furniture/equipment,1574,< 100 DM,1-4 years,4,Male: single,None,2,Real estate,50,None,Own,1,Skilled employee,1,None,Yes,0,314.8,131.16666666666666,46-55,Medium,Short (1yr),0,1,0,1,1
>= 200 DM,18,All credits paid at this bank,Radio/TV,1445,Unknown/none,4-7 years,4,Male: single,None,4,Car or other,49,Bank,Own,1,Unskilled resident,1,None,Yes,0,289.0,80.27777777777777,46-55,Medium,Medium (1-2yr),1,1,1,0,1
No checking account,15,Critical account,Furniture/equipment,1520,Unknown/none,>= 7 years,4,Male: single,None,4,Savings/life insurance,63,None,Own,1,Skilled employee,1,None,Yes,0,304.0,101.33333333333333,55+,Medium,Medium (1-2yr),0,0,1,0,1
0-200 DM,24,Critical account,Car (new),3878,100-500 DM,< 1 year,4,Male: divorced/separated,None,2,Car or other,37,None,Own,1,Skilled employee,1,Yes,Yes,0,775.6,161.58333333333334,36-45,High,Medium (1-2yr),1,0,0,0,1
< 0 DM,47,Existing credits paid till now,Car (new),10722,< 100 DM,< 1 year,1,Female: divorced/married,None,1,Real estate,35,None,Own,1,Unskilled resident,1,Yes,Yes,0,5361.0,228.12765957446808,26-35,Very High,Long (2-4yr),1,1,0,1,1
< 0 DM,48,Existing credits paid till now,Car (used),4788,< 100 DM,4-7 years,4,Male: single,None,3,Savings/life insurance,26,None,Own,1,Skilled employee,2,None,Yes,0,957.6,99.75,26-35,Very High,Long (2-4yr),1,1,1,0,1
0-200 DM,48,Delay in past payments,Others,7582,100-500 DM,Unemployed,2,Male: single,None,4,Unknown/none,31,None,For free,1,Highly skilled/self-employed,1,Yes,Yes,0,2527.3333333333335,157.95833333333334,26-35,Very High,Long (2-4yr),1,0,0,0,0
0-200 DM,12,Existing credits paid till now,Radio/TV,1092,< 100 DM,1-4 years,4,Female: divorced/married,Guarantor,4,Real estate,49,None,Own,2,Skilled employee,1,Yes,Yes,0,218.4,91.0,46-55,Low,Short (1yr),1,1,0,1,1
< 0 DM,24,Delay in past payments,Radio/TV,1024,< 100 DM,< 1 year,4,Male: married/widowed,None,4,Real estate,48,Stores,Own,1,Skilled employee,1,None,Yes,1,204.8,42.666666666666664,46-55,Low,Medium (1-2yr),1,0,0,1,1
No checking account,12,Existing credits paid till now,Business,1076,< 100 DM,1-4 years,2,Male: married/widowed,None,2,Real estate,26,None,Own,1,Skilled employee,1,Yes,No,0,358.6666666666667,89.66666666666667,26-35,Low,Short (1yr),0,1,0,1,1
0-200 DM,36,Existing credits paid till now,Car (used),9398,< 100 DM,< 1 year,1,Male: married/widowed,None,4,Car or other,28,None,Rent,1,Highly skilled/self-employed,1,Yes,Yes,1,4699.0,261.05555555555554,26-35,Very High,Long (2-4yr),1,1,0,0,0
< 0 DM,24,Critical account,Car (used),6419,< 100 DM,>= 7 years,2,Female: divorced/married,None,4,Unknown/none,44,None,For free,2,Highly skilled/self-employed,2,Yes,Yes,0,2139.6666666666665,267.4583333333333,36-45,Very High,Medium (1-2yr),1,0,1,0,0
>= 200 DM,42,Critical account,Car (used),4796,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,56,None,For free,1,Skilled employee,1,None,Yes,0,959.2,114.19047619047619,55+,Very High,Long (2-4yr),1,0,1,0,0
No checking account,48,Critical account,Business,7629,Unknown/none,>= 7 years,4,Male: divorced/separated,None,2,Car or other,46,Bank,Own,2,Highly skilled/self-employed,2,None,Yes,0,1525.8,158.9375,46-55,Very High,Long (2-4yr),0,0,1,0,1
0-200 DM,48,Existing credits paid till now,Furniture/equipment,9960,< 100 DM,< 1 year,1,Female: divorced/married,None,2,Car or other,26,None,Own,1,Skilled employee,1,Yes,Yes,1,4980.0,207.5,26-35,Very High,Long (2-4yr),1,1,0,0,1
No checking account,12,Existing credits paid till now,Car (used),4675,Unknown/none,< 1 year,1,Female: divorced/married,None,4,Car or other,20,None,Rent,1,Skilled employee,1,None,Yes,0,2337.5,389.5833333333333,18-25,Very High,Short (1yr),0,1,0,0,0
No checking account,10,Existing credits paid till now,Car (new),1287,Unknown/none,>= 7 years,4,Male: single,Co-applicant,2,Savings/life insurance,45,None,Own,1,Unskilled resident,1,None,No,0,257.4,128.7,36-45,Low,Short (1yr),0,1,1,0,1
No checking account,18,Existing credits paid till now,Furniture/equipment,2515,< 100 DM,1-4 years,3,Male: single,None,4,Real estate,43,None,Own,1,Skilled employee,1,Yes,Yes,0,628.75,139.72222222222223,36-45,High,Medium (1-2yr),0,1,0,1,1
0-200 DM,21,Critical account,Furniture/equipment,2745,>= 1000 DM,4-7 years,3,Male: single,None,2,Car or other,32,None,Own,2,Skilled employee,1,Yes,Yes,0,686.25,130.71428571428572,26-35,High,Medium (1-2yr),1,0,1,0,1
No checking account,6,Existing credits paid till now,Car (new),672,< 100 DM,Unemployed,1,Female: divorced/married,None,4,Real estate,54,None,Own,1,Unemployed/unskilled non-resident,1,Yes,Yes,0,336.0,112.0,46-55,Low,Short (1yr),0,1,0,1,1
0-200 DM,36,No credits/all paid,Radio/TV,3804,< 100 DM,1-4 years,4,Female: divorced/married,None,1,Car or other,42,None,Own,1,Skilled employee,1,Yes,Yes,1,760.8,105.66666666666667,36-45,High,Long (2-4yr),1,1,0,0,1
>= 200 DM,24,Critical account,Car (new),1344,Unknown/none,4-7 years,4,Male: single,None,2,Real estate,37,Bank,Own,2,Unskilled resident,2,None,Yes,1,268.8,56.0,36-45,Low,Medium (1-2yr),1,0,1,1,1
< 0 DM,10,Critical account,Car (new),1038,< 100 DM,4-7 years,4,Male: single,Co-applicant,3,Savings/life insurance,49,None,Own,2,Skilled employee,1,Yes,Yes,0,207.6,103.8,46-55,Low,Short (1yr),1,0,1,0,1
No checking account,48,Critical account,Car (new),10127,500-1000 DM,1-4 years,2,Male: single,None,2,Unknown/none,44,Bank,For free,1,Skilled employee,1,None,Yes,1,3375.6666666666665,210.97916666666666,36-45,Very High,Long (2-4yr),0,0,0,0,0
No checking account,6,Existing credits paid till now,Furniture/equipment,1543,>= 1000 DM,1-4 years,4,Male: divorced/separated,None,2,Real estate,33,None,Own,1,Skilled employee,1,None,Yes,0,308.6,257.1666666666667,26-35,Medium,Short (1yr),0,1,0,1,1
No checking account,30,Existing credits paid till now,Car (used),4811,Unknown/none,4-7 years,2,Female: divorced/married,None,4,Savings/life insurance,24,Stores,Rent,1,Unskilled resident,1,None,Yes,0,1603.6666666666667,160.36666666666667,18-25,Very High,Long (2-4yr),0,1,1,0,0
< 0 DM,12,Existing credits paid till now,Radio/TV,727,100-500 DM,< 1 year,4,Male: married/widowed,None,3,Unknown/none,33,None,Own,1,Unskilled resident,1,Yes,Yes,1,145.4,60.583333333333336,26-35,Low,Short (1yr),1,1,0,0,1
0-200 DM,8,Existing credits paid till now,Furniture/equipment,1237,< 100 DM,1-4 years,3,Female: divorced/married,None,4,Real estate,24,None,Own,1,Skilled employee,1,None,Yes,1,309.25,154.625,18-25,Low,Short (1yr),1,1,0,1,1
0-200 DM,9,Existing credits paid till now,Car (new),276,< 100 DM,1-4 years,4,Male: married/widowed,None,4,Real estate,22,None,Rent,1,Unskilled resident,1,None,Yes,0,55.2,30.666666666666668,18-25,Low,Short (1yr),1,1,0,1,0
0-200 DM,48,Existing credits paid till now,Others,5381,Unknown/none,Unemployed,3,Male: single,None,4,Unknown/none,40,Bank,For free,1,Unemployed/unskilled non-resident,1,Yes,Yes,0,1345.25,112.10416666666667,36-45,Very High,Long (2-4yr),1,1,0,0,0
No checking account,24,Existing credits paid till now,Furniture/equipment,5511,100-500 DM,1-4 years,4,Male: single,None,1,Car or other,25,Stores,Own,1,Skilled employee,1,None,Yes,0,1102.2,229.625,18-25,Very High,Medium (1-2yr),0,1,0,0,1
>= 200 DM,24,Existing credits paid till now,Furniture/equipment,3749,< 100 DM,< 1 year,2,Female: divorced/married,None,4,Car or other,26,None,Own,1,Skilled employee,1,None,Yes,0,1249.6666666666667,156.20833333333334,26-35,High,Medium (1-2yr),1,1,0,0,1
0-200 DM,12,Existing credits paid till now,Car (new),685,< 100 DM,4-7 years,2,Male: married/widowed,None,3,Car or other,25,Bank,Own,1,Unskilled resident,1,None,Yes,1,228.33333333333334,57.083333333333336,18-25,Low,Short (1yr),1,1,1,0,1
>= 200 DM,4,Existing credits paid till now,Car (new),1494,Unknown/none,< 1 year,1,Male: single,None,2,Real estate,29,None,Own,1,Unskilled resident,2,None,No,0,747.0,373.5,26-35,Medium,Short (1yr),1,1,0,1,1
< 0 DM,36,All credits paid at this bank,Furniture/equipment,2746,< 100 DM,>= 7 years,4,Male: single,None,4,Car or other,31,Bank,Own,1,Skilled employee,1,None,Yes,1,549.2,76.27777777777777,26-35,High,Long (2-4yr),1,1,1,0,1
< 0 DM,12,Existing credits paid till now,Furniture/equipment,708,< 100 DM,1-4 years,2,Male: single,Guarantor,3,Savings/life insurance,38,None,Own,1,Unskilled resident,2,None,Yes,0,236.0,59.0,36-45,Low,Short (1yr),1,1,0,0,1
0-200 DM,24,Existing credits paid till now,Furniture/equipment,4351,Unknown/none,1-4 years,1,Female: divorced/married,None,4,Savings/life insurance,48,None,Own,1,Unskilled resident,1,Yes,Yes,0,2175.5,181.29166666666666,46-55,Very High,Medium (1-2yr),1,1,0,0,1
No checking account,12,Critical account,Education,701,< 100 DM,1-4 years,4,Male: single,None,2,Car or other,32,None,Own,2,Skilled employee,1,None,Yes,0,140.2,58.416666666666664,26-35,Low,Short (1yr),0,0,0,0,1
< 0 DM,15,Delay in past payments,Furniture/equipment,3643,< 100 DM,>= 7 years,1,Female: divorced/married,None,4,Savings/life insurance,27,None,Own,2,Unskilled resident,1,None,Yes,0,1821.5,242.86666666666667,26-35,High,Medium (1-2yr),1,0,1,0,1
0-200 DM,30,Critical account,Car (new),4249,< 100 DM,Unemployed,4,Male: married/widowed,None,2,Car or other,28,None,Own,2,Highly skilled/self-employed,1,None,Yes,1,849.8,141.63333333333333,26-35,Very High,Long (2-4yr),1,0,0,0,1
< 0 DM,24,Existing credits paid till now,Radio/TV,1938,< 100 DM,< 1 year,4,Male: divorced/separated,None,3,Savings/life insurance,32,None,Own,1,Skilled employee,1,None,Yes,1,387.6,80.75,26-35,Medium,Medium (1-2yr),1,1,0,0,1
< 0 DM,24,Existing credits paid till now,Car (used),2910,< 100 DM,4-7 years,2,Male: single,None,1,Unknown/none,34,None,For free,1,Highly skilled/self-employed,1,Yes,Yes,0,970.0,121.25,26-35,High,Medium (1-2yr),1,1,1,0,0
< 0 DM,18,Existing credits paid till now,Furniture/equipment,2659,>= 1000 DM,1-4 years,4,Male: single,None,2,Car or other,28,None,Own,1,Skilled employee,1,None,Yes,0,531.8,147.72222222222223,26-35,High,Medium (1-2yr),1,1,0,0,1
No checking account,18,Critical account,Car (new),1028,< 100 DM,1-4 years,4,Female: divorced/married,None,3,Real estate,36,None,Own,2,Skilled employee,1,None,Yes,0,205.6,57.111111111111114,36-45,Low,Medium (1-2yr),0,0,0,1,1
< 0 DM,8,Critical account,Car (new),3398,< 100 DM,4-7 years,1,Male: single,None,4,Real estate,39,None,Own,2,Unskilled resident,1,None,No,0,1699.0,424.75,36-45,High,Short (1yr),1,0,1,1,1
No checking account,12,Critical account,Furniture/equipment,5801,Unknown/none,>= 7 years,2,Male: single,None,4,Savings/life insurance,49,None,Rent,1,Skilled employee,1,Yes,Yes,0,1933.6666666666667,483.4166666666667,46-55,Very High,Short (1yr),0,0,1,0,0
No checking account,24,Existing credits paid till now,Car (new),1525,>= 1000 DM,4-7 years,4,Female: divorced/married,None,3,Car or other,34,None,Own,1,Skilled employee,2,Yes,Yes,0,305.0,63.541666666666664,26-35,Medium,Medium (1-2yr),0,1,1,0,1
>= 200 DM,36,Existing credits paid till now,Radio/TV,4473,< 100 DM,>= 7 years,4,Male: single,None,2,Car or other,31,None,Own,1,Skilled employee,1,None,Yes,0,894.6,124.25,26-35,Very High,Long (2-4yr),1,1,1,0,1
0-200 DM,6,Existing credits paid till now,Radio/TV,1068,< 100 DM,>= 7 years,4,Male: single,None,4,Car or other,28,None,Own,1,Skilled employee,2,None,Yes,0,213.6,178.0,26-35,Low,Short (1yr),1,1,1,0,1
< 0 DM,24,Critical account,Car (used),6615,< 100 DM,Unemployed,2,Male: single,None,4,Unknown/none,75,None,For free,2,Highly skilled/self-employed,1,Yes,Yes,0,2205.0,275.625,55+,Very High,Medium (1-2yr),1,0,0,0,0
No checking account,18,Critical account,Education,1864,100-500 DM,1-4 years,4,Female: divorced/married,None,2,Real estate,30,None,Own,2,Skilled employee,1,None,Yes,1,372.8,103.55555555555556,26-35,Medium,Medium (1-2yr),0,0,0,1,1
0-200 DM,60,Existing credits paid till now,Car (new),7408,100-500 DM,< 1 year,4,Female: divorced/married,None,2,Savings/life insurance,24,None,Own,1,Highly skilled/self-employed,1,None,Yes,1,1481.6,123.46666666666667,18-25,Very High,Very Long (4yr+),1,1,0,0,1
No checking account,48,Critical account,Car (used),11590,100-500 DM,1-4 years,2,Female: divorced/married,None,4,Car or other,24,Bank,Rent,2,Unskilled resident,1,None,Yes,1,3863.3333333333335,241.45833333333334,18-25,Very High,Long (2-4yr),0,0,0,0,0
< 0 DM,24,No credits/all paid,Furniture/equipment,4110,< 100 DM,>= 7 years,3,Male: single,None,4,Unknown/none,23,Bank,Rent,2,Skilled employee,2,None,Yes,1,1027.5,171.25,18-25,Very High,Medium (1-2yr),1,1,1,0,0
< 0 DM,6,Critical account,Furniture/equipment,3384,< 100 DM,1-4 years,1,Male: divorced/separated,None,4,Real estate,44,None,Rent,1,Highly skilled/self-employed,1,Yes,Yes,1,1692.0,564.0,36-45,High,Short (1yr),1,0,0,1,0
0-200 DM,13,Existing credits paid till now,Radio/TV,2101,< 100 DM,< 1 year,2,Female: divorced/married,Guarantor,4,Savings/life insurance,23,None,Own,1,Unskilled resident,1,None,Yes,0,700.3333333333334,161.6153846153846,18-25,Medium,Medium (1-2yr),1,1,0,0,1
< 0 DM,15,Existing credits paid till now,Domestic appliances,1275,Unknown/none,1-4 years,4,Female: divorced/married,None,2,Car or other,24,None,Rent,1,Skilled employee,1,None,Yes,1,255.0,85.0,18-25,Low,Medium (1-2yr),1,1,0,0,0
< 0 DM,24,Existing credits paid till now,Furniture/equipment,4169,< 100 DM,1-4 years,4,Male: single,None,4,Savings/life insurance,28,None,Own,1,Skilled employee,1,None,Yes,0,833.8,173.70833333333334,26-35,Very High,Medium (1-2yr),1,1,0,0,1
0-200 DM,10,Existing credits paid till now,Furniture/equipment,1521,< 100 DM,1-4 years,4,Male: divorced/separated,None,2,Car or other,31,None,Own,1,Unskilled resident,1,None,Yes,0,304.2,152.1,26-35,Medium,Short (1yr),1,1,0,0,1
0-200 DM,24,Critical account,Education,5743,< 100 DM,< 1 year,2,Female: divorced/married,None,4,Unknown/none,24,None,For free,2,Skilled employee,1,Yes,Yes,0,1914.3333333333333,239.29166666666666,18-25,Very High,Medium (1-2yr),1,0,0,0,0
< 0 DM,21,Existing credits paid till now,Furniture/equipment,3599,< 100 DM,4-7 years,1,Female: divorced/married,None,4,Car or other,26,None,Rent,1,Unskilled resident,1,None,Yes,0,1799.5,171.38095238095238,26-35,High,Medium (1-2yr),1,1,1,0,0
0-200 DM,18,Existing credits paid till now,Radio/TV,3213,500-1000 DM,< 1 year,1,Male: married/widowed,None,3,Real estate,25,None,Rent,1,Skilled employee,1,None,Yes,0,1606.5,178.5,18-25,High,Medium (1-2yr),1,1,0,1,0
0-200 DM,18,Existing credits paid till now,Business,4439,< 100 DM,>= 7 years,1,Male: single,Co-applicant,1,Real estate,33,Bank,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,2219.5,246.61111111111111,26-35,Very High,Medium (1-2yr),1,1,1,1,1
>= 200 DM,10,Existing credits paid till now,Car (new),3949,< 100 DM,< 1 year,1,Male: single,Guarantor,1,Savings/life insurance,37,None,Own,1,Unskilled resident,2,None,Yes,0,1974.5,394.9,36-45,High,Short (1yr),1,1,0,0,1
No checking account,15,Critical account,Radio/TV,1459,< 100 DM,1-4 years,4,Female: divorced/married,None,2,Car or other,43,None,Own,1,Unskilled resident,1,None,Yes,0,291.8,97.26666666666667,36-45,Medium,Medium (1-2yr),0,0,0,0,1
0-200 DM,13,Critical account,Radio/TV,882,< 100 DM,< 1 year,4,Male: single,Guarantor,4,Real estate,23,None,Own,2,Skilled employee,1,None,Yes,0,176.4,67.84615384615384,18-25,Low,Medium (1-2yr),1,0,0,1,1
0-200 DM,24,Existing credits paid till now,Radio/TV,3758,500-1000 DM,Unemployed,1,Female: divorced/married,None,4,Unknown/none,23,None,Rent,1,Unemployed/unskilled non-resident,1,None,Yes,0,1879.0,156.58333333333334,18-25,High,Medium (1-2yr),1,1,0,0,0
No checking account,6,Delay in past payments,Business,1743,100-500 DM,1-4 years,1,Male: single,None,2,Real estate,34,None,Own,2,Unskilled resident,1,None,Yes,0,871.5,290.5,26-35,Medium,Short (1yr),0,0,0,1,1
0-200 DM,9,Critical account,Education,1136,>= 1000 DM,>= 7 years,4,Male: single,None,3,Unknown/none,32,None,For free,2,Skilled employee,2,None,Yes,1,227.2,126.22222222222223,26-35,Low,Short (1yr),1,0,1,0,0
No checking account,9,Existing credits paid till now,Domestic appliances,1236,< 100 DM,< 1 year,1,Female: divorced/married,None,4,Real estate,23,None,Rent,1,Skilled employee,1,Yes,Yes,0,618.0,137.33333333333334,18-25,Low,Short (1yr),0,1,0,1,0
0-200 DM,9,Existing credits paid till now,Furniture/equipment,959,< 100 DM,1-4 years,1,Female: divorced/married,None,2,Car or other,29,None,Own,1,Skilled employee,1,None,No,1,479.5,106.55555555555556,26-35,Low,Short (1yr),1,1,0,0,1
No checking account,18,Critical account,Car (used),3229,Unknown/none,Unemployed,2,Male: single,None,4,Unknown/none,38,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,1076.3333333333333,179.38888888888889,36-45,High,Medium (1-2yr),0,0,0,0,1
< 0 DM,12,No credits/all paid,Radio/TV,6199,< 100 DM,1-4 years,4,Male: single,None,2,Savings/life insurance,28,None,Rent,2,Skilled employee,1,Yes,Yes,1,1239.8,516.5833333333334,26-35,Very High,Short (1yr),1,1,0,0,0
No checking account,10,Existing credits paid till now,Education,727,500-1000 DM,>= 7 years,4,Male: single,None,4,Unknown/none,46,None,For free,1,Skilled employee,1,Yes,Yes,0,145.4,72.7,46-55,Low,Short (1yr),0,1,1,0,0
0-200 DM,24,Existing credits paid till now,Car (new),1246,< 100 DM,< 1 year,4,Male: single,None,2,Real estate,23,Stores,Own,1,Unskilled resident,1,None,Yes,1,249.2,51.916666666666664,18-25,Low,Medium (1-2yr),1,1,0,1,1
No checking account,12,Critical account,Radio/TV,2331,Unknown/none,>= 7 years,1,Male: single,Co-applicant,4,Real estate,49,None,Own,1,Skilled employee,1,Yes,Yes,0,1165.5,194.25,46-55,High,Short (1yr),0,0,1,1,1
No checking account,36,Delay in past payments,Radio/TV,4463,< 100 DM,1-4 years,4,Male: single,None,2,Car or other,26,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,1,892.6,123.97222222222223,26-35,Very High,Long (2-4yr),0,0,0,0,1
No checking account,12,Existing credits paid till now,Radio/TV,776,< 100 DM,1-4 years,4,Male: married/widowed,None,2,Real estate,28,None,Own,1,Skilled employee,1,None,Yes,0,155.2,64.66666666666667,26-35,Low,Short (1yr),0,1,0,1,1
< 0 DM,30,Existing credits paid till now,Furniture/equipment,2406,< 100 DM,4-7 years,4,Female: divorced/married,None,4,Real estate,23,None,Rent,1,Skilled employee,1,None,Yes,1,481.2,80.2,18-25,High,Long (2-4yr),1,1,1,1,0
0-200 DM,18,Existing credits paid till now,Education,1239,Unknown/none,1-4 years,4,Male: single,None,4,Unknown/none,61,None,For free,1,Skilled employee,1,None,Yes,0,247.8,68.83333333333333,55+,Low,Medium (1-2yr),1,1,0,0,0
>= 200 DM,12,Existing credits paid till now,Radio/TV,3399,Unknown/none,>= 7 years,2,Male: single,None,3,Car or other,37,None,Own,1,Highly skilled/self-employed,1,None,Yes,0,1133.0,283.25,36-45,High,Short (1yr),1,1,1,0,1
>= 200 DM,12,Delay in past payments,Car (new),2247,< 100 DM,1-4 years,2,Female: divorced/married,None,2,Car or other,36,Stores,Own,2,Skilled employee,1,Yes,Yes,0,749.0,187.25,36-45,Medium,Short (1yr),1,0,0,0,1
No checking account,6,Existing credits paid till now,Furniture/equipment,1766,< 100 DM,1-4 years,1,Male: married/widowed,None,2,Savings/life insurance,21,None,Rent,1,Skilled employee,1,None,Yes,0,883.0,294.3333333333333,18-25,Medium,Short (1yr),0,1,0,0,0
< 0 DM,18,Existing credits paid till now,Furniture/equipment,2473,< 100 DM,Unemployed,4,Male: single,None,1,Car or other,25,None,Own,1,Unemployed/unskilled non-resident,1,None,Yes,1,494.6,137.38888888888889,18-25,High,Medium (1-2yr),1,1,0,0,1
No checking account,12,Existing credits paid till now,Business,1542,< 100 DM,4-7 years,2,Male: single,None,4,Car or other,36,None,Own,1,Skilled employee,1,Yes,Yes,0,514.0,128.5,36-45,Medium,Short (1yr),0,1,1,0,1
No checking account,18,Critical account,Car (used),3850,< 100 DM,4-7 years,3,Male: single,None,1,Car or other,27,None,Own,2,Skilled employee,1,None,Yes,0,962.5,213.88888888888889,26-35,High,Medium (1-2yr),0,0,1,0,1
< 0 DM,18,Existing credits paid till now,Furniture/equipment,3650,< 100 DM,< 1 year,1,Female: divorced/married,None,4,Car or other,22,None,Rent,1,Skilled employee,1,None,Yes,0,1825.0,202.77777777777777,18-25,High,Medium (1-2yr),1,1,0,0,0
< 0 DM,36,Existing credits paid till now,Furniture/equipment,3446,< 100 DM,>= 7 years,4,Male: single,None,2,Car or other,42,None,Own,1,Skilled employee,2,None,Yes,1,689.2,95.72222222222223,36-45,High,Long (2-4yr),1,1,1,0,1
0-200 DM,18,Existing credits paid till now,Furniture/equipment,3001,< 100 DM,4-7 years,2,Female: divorced/married,None,4,Real estate,40,None,Rent,1,Skilled employee,1,None,Yes,0,1000.3333333333334,166.72222222222223,36-45,High,Medium (1-2yr),1,1,1,1,0
No checking account,36,Existing credits paid till now,Car (new),3079,Unknown/none,1-4 years,4,Male: single,None,4,Real estate,36,None,Own,1,Skilled employee,1,None,Yes,0,615.8,85.52777777777777,36-45,High,Long (2-4yr),0,1,0,1,1
No checking account,18,Critical account,Radio/TV,6070,< 100 DM,>= 7 years,3,Male: single,None,4,Car or other,33,None,Own,2,Skilled employee,1,Yes,Yes,0,1517.5,337.22222222222223,26-35,Very High,Medium (1-2yr),0,0,1,0,1
No checking account,10,Critical account,Furniture/equipment,2146,< 100 DM,< 1 year,1,Female: divorced/married,None,3,Real estate,23,None,Rent,2,Skilled employee,1,None,Yes,0,1073.0,214.6,18-25,Medium,Short (1yr),0,0,0,1,0
No checking account,60,Critical account,Car (new),13756,Unknown/none,>= 7 years,2,Male: single,None,4,Unknown/none,63,Bank,For free,1,Highly skilled/self-employed,1,Yes,Yes,0,4585.333333333333,229.26666666666668,55+,Very High,Very Long (4yr+),0,0,1,0,0
